Date,Tweet,Country
Wed Apr 24 00:04:48 +0000 2019,"   It\'s a seoi nage (right) there\'s also seoi nage (left). It\'s Judo \ Lots of vids on YouTube""'","Silver Springs Shores, FL"
Wed Apr 24 00:04:48 +0000 2019,B O A T I N G\\nIt\ Nice To Have A #CAPTAIN Who Doubles As Your #PHOTOGRAPHER!!!  Thanks \ For ALL The #SPLENDOR!\ ,"Miami, FL"
Wed Apr 24 00:04:46 +0000 2019,#HulkHogan painting I did.\ \ Strong\ -  \\n#Hulkamania #Wrestlemania35 #Legend #HOF #TooSweet Brother ,"Clearwater, FL"
Wed Apr 24 00:04:46 +0000 2019, You\ so tan and glowing and beautiful!! \,"McGregor, FL"
Wed Apr 24 00:04:46 +0000 2019,This is funnier than it should have been \ ,"Glenwood, FL"
Wed Apr 24 00:04:46 +0000 2019,"THE REGRET IN HIS EYES WHEN HE SAID THAT. MY HEART. #TheFlash'""","Poinciana, FL"
Wed Apr 24 00:04:46 +0000 2019," K is so stupid'""","Keystone, FL"
Wed Apr 24 00:04:45 +0000 2019,Whew Let\ hope one of those changes is a new hat ,"Hollywood, FL"
Wed Apr 24 00:04:43 +0000 2019," Another useless vote for show.'""","Florida, USA"
Wed Apr 24 00:04:42 +0000 2019,#tuesdaynightvibes @ Rock & Brews Oviedo ,"Florida, USA"
Wed Apr 24 00:04:39 +0000 2019," Yiki, me encanta el juego empezando a esta hora 6.10 pm'""","Tamiami, FL"
Wed Apr 24 00:04:39 +0000 2019," I think my original video is gone. \\nAlthough, I wanted to ask you if you\'ve ever thought of filming\ ","Tallahassee, FL"
Wed Apr 24 00:04:39 +0000 2019,so I\ really friends with one of my exes and this is the type of shit we sent to each other ,"Florida, USA"
Wed Apr 24 00:04:37 +0000 2019, Thank you Roots and Wings for sponsoring a program that allows us to honor those teachers and staf\ ,"Delray Beach, FL"
Wed Apr 24 00:04:33 +0000 2019," Never in a million years would I ever do some shit like that'""","Florida, USA"
Wed Apr 24 00:04:33 +0000 2019,Still more playoff wins than the lightening ,"Florida, USA"
Wed Apr 24 00:04:31 +0000 2019,"  With the success of GOT, would love an adaptation of Eyes of the Dragon'""","Florida, USA"
Wed Apr 24 00:04:31 +0000 2019,dawg that was the funniest shit everrrr\,"Miami, FL"
Wed Apr 24 00:04:31 +0000 2019," Did you just graduate from the Trump School of Blame and Bullying,?'""","Florida, USA"
Wed Apr 24 00:04:30 +0000 2019, You gonna follow him to College? Or on a date? \,"Dunedin, FL"
Wed Apr 24 00:04:30 +0000 2019,  RT to ,"Florida, USA"
Wed Apr 24 00:04:29 +0000 2019,"Coming soon... 4 bed, 2 bath, 2 car garage, and just under 2,000 sqft. #stpetersburgcountryclub @ St. Petersburg Co\ ","St Petersburg, FL"
Wed Apr 24 00:04:28 +0000 2019,Kamala Harris and Bernie Sanders will do anything just to get votes. WAKE UP AMERICA AND WALK AWAY \\nFROM THE DEMOCR\ ,"Florida, USA"
Wed Apr 24 00:04:28 +0000 2019," Thank you for the update! We are PRAYING for you all. Total HEALING'""","St Petersburg, FL"
Wed Apr 24 00:04:27 +0000 2019,"#theenglishclass #englishclass #hello #goodnight #blessed #goodvibes #positivevibes #thankgod en Allapattah, Florida ","Miami, FL"
Wed Apr 24 00:04:24 +0000 2019,  Whoever said that might not but any real C\ who watches knows this series is the ECF we\ ,"Florida, USA"
Wed Apr 24 00:04:24 +0000 2019," American lol'""","Florida, USA"
Wed Apr 24 00:04:24 +0000 2019, Yes. I\ only had them from friend of mines before but last night I ate a couple bites from one my\ ,"Lehigh Acres, FL"
Wed Apr 24 00:04:23 +0000 2019," Dude!'""","Sunrise, FL"
Wed Apr 24 00:04:21 +0000 2019," Yes!!!!! Love love love it'""","Jupiter, FL"
Wed Apr 24 00:04:21 +0000 2019,"you haven\ lived if you haven\ fucked a latino/latina'""","Richmond West, FL"
Wed Apr 24 00:04:20 +0000 2019, \,"Goulds, FL"
Wed Apr 24 00:04:20 +0000 2019,"#apoyandololocal cotton.kush #unaboricuaenflorida #enfloridatambnsegoza #IndianShores @ Indian Shores, Florida ","Indian Shores, FL"
Wed Apr 24 00:04:19 +0000 2019,Hope your having a great evening! \ ,"Bradenton, FL"
Wed Apr 24 00:04:18 +0000 2019,This is how your girl smiles at you when she knows you\ lying ,"Miami Beach, FL"
Wed Apr 24 00:04:18 +0000 2019,"   Noster would be proud'""","Wildwood, FL"
Wed Apr 24 00:04:17 +0000 2019, Thank you!! \,"Florida, USA"
Wed Apr 24 00:04:17 +0000 2019,Spotted under dah Sea in FLA. who needs a river table when you have the whole ocean? Anchor that resin! \ Phenomen\ ,"Haines City, FL"
Wed Apr 24 00:04:16 +0000 2019,"  : load management'""","Ojus, FL"
Wed Apr 24 00:04:16 +0000 2019," I love that pick at 25'""","Florida, USA"
Wed Apr 24 00:04:16 +0000 2019,Who has some peeps left? ,"Florida, USA"
Wed Apr 24 00:04:15 +0000 2019,Why is this the cutest shit ever \ ,"Zephyrhills, FL"
Wed Apr 24 00:04:15 +0000 2019, Maybe you are a tortured-genius like VanGogh or Hemingway? \,"Florida, USA"
Wed Apr 24 00:04:14 +0000 2019, Congratulations!! \,"Alafaya, FL"
Wed Apr 24 00:04:12 +0000 2019,Excited about this musical #Anastasia #browardcenterfortheperformingarts #lifeofhays @ Broward Center for the Perfo\ ,"Fort Lauderdale, FL"
Wed Apr 24 00:04:11 +0000 2019,"Pray for my wallet fam. Just walked into Target.'""","Miami, FL"
Wed Apr 24 00:04:11 +0000 2019,"You eat burnt sod for Thanksgiving one time and they never let you forget. \\n\\n-Vari probably'""","North Palm Beach, FL"
Wed Apr 24 00:04:10 +0000 2019,"Disfrutando de un manantial natural en Orlando, Florida ","Orlando, FL"
