Date,Tweet,Country
Mon May 20 10:19:47 +0000 2019, \,"Glens Falls, NY"
Mon May 20 10:19:46 +0000 2019,  There are also scores of families across the USA who are starving. Clearly our systems are failing\ ,"Clay, NY"
Mon May 20 10:19:46 +0000 2019,Clippppppp ,"Bronx, NY"
Mon May 20 10:19:35 +0000 2019,"Set my alarm for 9am, but I\ up at 6am.. make a beat? Sure.'""","Queens, NY"
Mon May 20 10:19:34 +0000 2019," Savage reply lol'""","Highland, NY"
Mon May 20 10:19:27 +0000 2019,Stop procrastinating...\\n#teamnoboundaries #teamskysthelimit #entrepreneur #BeYourOwnBoss #leadership\ ,"Uniondale, NY"
Mon May 20 10:19:21 +0000 2019,"Huawei mocked Apple over sourcing 5G chips, but now it\'s losing Qualcomm chips and other key technologies  ","Manhattan, NY"
Mon May 20 10:19:05 +0000 2019,"Join the CVS Health team! See our latest job opening here:  #Retail #Newburgh, NY'""","Gardnertown, NY"
Mon May 20 10:19:03 +0000 2019, Yanks took 2 outta 3 and moved into first place over the weekend!!  \,"Queens, NY"
Mon May 20 10:19:00 +0000 2019," To you and all  players and fan world wide'""","Highland, NY"
Mon May 20 10:18:50 +0000 2019, I genuinely think Bran is a great pick for a ruler. Besides he\ got the built in throne which is co\ ,"Brooklyn, NY"
Mon May 20 10:18:39 +0000 2019," It\ because our heads are in the clouds, our heads are in the clouds!!'""","Manhattan, NY"
Mon May 20 10:18:32 +0000 2019,"'While China has more than 420k electric buses, ""Of the\ 5,700 municipal buses in New York, just 10 are fully\ ","Manhattan, NY"
Mon May 20 10:18:15 +0000 2019,  Congrats and enjoy the journey!  \,"Queens, NY"
Mon May 20 10:18:13 +0000 2019,Almost 90 in NYC today!!!!!! \ Time to act Up \,"Staten Island, NY"
Mon May 20 10:18:11 +0000 2019,"They should have just waited for the next book rather do fan ideas'""","Manhattan, NY"
Mon May 20 10:18:11 +0000 2019," Hey, Sounds good. Please contact our experts for your phone repair. - ","New York, USA"
Mon May 20 10:17:51 +0000 2019,(The #ROC  chapter)... channeled its message through a creation of a mural on Genesee street in Rocheste\ ,"Pittsford, NY"
Mon May 20 10:17:51 +0000 2019,,"Harriman, NY"
Mon May 20 10:17:49 +0000 2019," This is a major story, dwarfed by the presidential campaign circus.'""","Brooklyn, NY"
Mon May 20 10:17:42 +0000 2019,"Agreed!  Young people can move a lot further along in all ways, including academics, when they respect and maintain\ ","Queens, NY"
Mon May 20 10:17:41 +0000 2019,The ruler of Westeros doesn\ need to have the best storyline or the most kills or have gone through the most traum\ ,"Brooklyn, NY"
Mon May 20 10:17:40 +0000 2019,  \,"Manhattan, NY"
Mon May 20 10:17:32 +0000 2019, Love this thread \,"Brooklyn, NY"
