Date,Tweet,Country
Tue May 14 06:10:35 +0000 2019," And after seeing the sleeves of my shirt I can confirm your assessment.'""","New York, USA"
Tue May 14 06:10:33 +0000 2019,ON GOD !!! ,"Bronx, NY"
Tue May 14 06:10:31 +0000 2019,Incident on #ALine Queens bound from Hoyt-Schermerhorn Station to Euclid Avenue Station ,"Brooklyn, NY"
Tue May 14 06:10:20 +0000 2019,"why sean connery talk like that???'""","Brooklyn, NY"
Tue May 14 06:11:05 +0000 2019,"Dam Nip'""","Manhattan, NY"
Tue May 14 06:11:01 +0000 2019,"I\ fucking up my YouTube recommendations by letting whatever is playing in the background of me laying here continue for the past 2 hours'""","Hempstead, NY"
Tue May 14 06:11:00 +0000 2019,"  Damn had some hard dick in you huh??'""","Buffalo, NY"
Tue May 14 06:10:58 +0000 2019,"I have exactly 2 days to write my next and final paper of the semester, kill me now'""","Manhattan, NY"
Tue May 14 06:10:51 +0000 2019,"Idk why I\ always like \ leaves until your arm falls off\ but that\ my brain and I\ pretty much stuck with it'""","Brooklyn, NY"
Tue May 14 06:10:50 +0000 2019,"Thought i had dirt under my nails but it was just my polly pocket i lost at the age of 6'""","Manhattan, NY"
Tue May 14 06:10:48 +0000 2019,My sleeping habits are \,"Bronx, NY"
Tue May 14 06:10:47 +0000 2019, \,"Manhattan, NY"
Tue May 14 06:26:11 +0000 2019," That\ sick. He probably picked it up at a Stewart\ with Seth Rogan'""","New York, USA"
Tue May 14 06:26:17 +0000 2019, I don\ care at all about your nipples but mama how is u not FREEZINg I\ cold looking at this \ beautiful \,"Queens, NY"
Tue May 14 06:26:17 +0000 2019, Yeah you\ def borderline F/T. Which is a solid place to be. I always forget you\ really an int\ ,"Manhattan, NY"
Tue May 14 06:26:21 +0000 2019,Construction on #I90NYSThruway EB from After Exit 54 (I-90) - West Seneca (Rte 16) to After Exit 52A (I-90) -...,"West Seneca, NY"
Tue May 14 06:40:53 +0000 2019,,LinkedIn New York Office
Tue May 14 06:41:19 +0000 2019,DISPONIBLE YA:  ft elalfaeljefe   Y  - Acapella -\ ,"Manhattan, NY"
Tue May 14 06:41:15 +0000 2019," Oh! Thank Meow so furry much, my Purrecious little Cutie Pies! That\'s so furry kind of Mew! I\'m sending l\ ","Centereach, NY"
Tue May 14 06:41:10 +0000 2019,Told you I got you baby \,"New York, USA"
Tue May 14 06:41:02 +0000 2019," Go to sleep'""","Manhattan, NY"
Tue May 14 06:56:02 +0000 2019,Shoes... then lips ,"Manhattan, NY"
Tue May 14 06:55:54 +0000 2019,LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO *ah shit here we go again* ,"Bronx, NY"
Tue May 14 06:55:53 +0000 2019,#Repost  with get_repost\\n\ been 3 years since  dropped \ Book\ Whats your\ ,"Manhattan, NY"
Tue May 14 06:55:50 +0000 2019,"Motivate Con Juan Plaza, es un segmento desea lograr que tomes los aspectos positivos que tiene la vida, miremos el\ ","Queens, NY"
Tue May 14 06:55:49 +0000 2019,"Not only do we feed families, we are one! Come and join the Boston Market Family!  #FastCasual #BostonMarket'""","Mechanicstown, NY"
Tue May 14 06:55:47 +0000 2019,"    Commander and Chief of America\'s Military, bone spurs and all. \","Island Park, NY"
Tue May 14 06:55:44 +0000 2019," \ have him direct a Phase 4 film'""","Brooklyn, NY"
Tue May 14 06:56:34 +0000 2019," yoo'""","Bronx, NY"
Tue May 14 07:11:08 +0000 2019,"  thank you for real'""","Brooklyn, NY"
Tue May 14 07:26:09 +0000 2019, Thank you \,"Brooklyn, NY"
Tue May 14 07:26:05 +0000 2019,17 hours knicks lock in Zion ,"Bohemia, NY"
Tue May 14 07:26:04 +0000 2019, Thank you my beautiful... I love love u \,"Bronx, NY"
Tue May 14 07:41:04 +0000 2019,4 fingered rock stars with heart and soul ,"Hewlett, NY"
Tue May 14 07:41:49 +0000 2019,Nnmm ,"Manhattan, NY"
Tue May 14 07:41:48 +0000 2019, \ beautiful day  Ashley \,"Queens, NY"
Tue May 14 07:41:46 +0000 2019,"I always have TOO much on my plate like how I take off from my jobs for 3 days and I can\ even take a break'""","Manhattan, NY"
Tue May 14 07:41:39 +0000 2019, same \,"New York, USA"
Tue May 14 07:56:23 +0000 2019, \,"Queens, NY"
Tue May 14 07:56:19 +0000 2019, *Happy Tuesday* TK! #ActorBuddy \ ,"Manhattan, NY"
Tue May 14 07:56:10 +0000 2019,"GM Peeps \ God Bless enjoy your day'""","Queens, NY"
Tue May 14 07:56:43 +0000 2019,Way To Excited About Red Velvet Everything! empirecakenyc @ Empire Cake ,"Manhattan, NY"
Tue May 14 07:56:39 +0000 2019,"Big bank take Lil bank ??'""","Bronx, NY"
Tue May 14 08:11:17 +0000 2019,"Chicks really be hungry off this app'""","West Seneca, NY"
Tue May 14 08:11:10 +0000 2019,  They meant simple in terms how he communicated the things he wrote and how they understood the t\ ,"Manhattan, NY"
