Date,Tweet,Country
Fri May 10 14:38:01 +0000 2019, Nothing like a night in with the fam bam! ^JH ,"Manhattan, NY"
Fri May 10 14:38:00 +0000 2019,"Interested in a job in #NewYork, NY? This could be a great fit. Click the link in our bio to apply: shift superviso\ ","Manhattan, NY"
Fri May 10 14:37:57 +0000 2019," Then 20 minutes on Biden leading in the polls with all the panelists pointing out it was too early to... You know.'""","Manhattan, NY"
Fri May 10 14:37:54 +0000 2019,Currently on view at the gallery a sole exhibition of Alexander Kaletski \ Lives\ featuring a series of oil on\ ,"Manhattan, NY"
Fri May 10 14:37:54 +0000 2019,"'The Creative Group is looking for teammates like you. See our latest #Marketing job openings, including ""marketing\ ","Manhattan, NY"
Fri May 10 14:37:54 +0000 2019,"The things I do for the people I care about, drained at this lecture for my sister \","Manhattan, NY"
Fri May 10 14:37:53 +0000 2019,"'  ""Back then"" <- Ty that\\\'s perfect.\''","Hamburg, NY"
Fri May 10 14:37:50 +0000 2019,"hate when people speak on shit they dont shit about'""","Port Washington, NY"
Fri May 10 14:37:50 +0000 2019,,"Greenburgh, NY"
Fri May 10 14:37:48 +0000 2019, A few points for you to consider:\\n\\n1.) You lost in 2016.\\n\\n2.) We won.\\n\\n3.) We\'re still winning. Big league.\ ,"New York, USA"
Fri May 10 14:37:48 +0000 2019,A story of friendship in a lyrical and lovely #mgnovel by   #harperpreview ,"Manhattan, NY"
Fri May 10 14:37:47 +0000 2019,"  The legal team is her legal team tho. She\ using her money to do this.'""","Manhattan, NY"
Fri May 10 14:37:45 +0000 2019,Nice seeing you tiffanierichardsnyc #madisonave #hairartists love the #makeup #haircolorists \ @ Nunzio Saviano Sal\ ,"Manhattan, NY"
Fri May 10 14:37:44 +0000 2019,"I\'m at Queens-Midtown Tunnel in New York, NY ","New York, USA"
Fri May 10 14:37:44 +0000 2019,"You make Bloomberg look like a saint  I am truly sorry that I voted for you  #AskTheMayor'""","Queens, NY"
Fri May 10 14:37:44 +0000 2019,"People call me crazy when I\ on to their shenanigans l.'""","Brooklyn, NY"
Fri May 10 14:37:42 +0000 2019," Seriously? Mr not one but two hot lunches? Boy, puhleeeze. Or Subway. Or having Curt\ delivered to school?? #suburbproblems'""","Hamburg, NY"
Fri May 10 14:37:42 +0000 2019,Where all my latinas ,"Bay Shore, NY"
Fri May 10 14:37:41 +0000 2019,"Wow  what happened to being the convenient bank? ATMs reduced A LOT over the last few years. Now, your app h\ ","Brooklyn, NY"
Fri May 10 14:37:39 +0000 2019,Heat Always On Deck. We Neva Miss! \\n #auxcordz #zinzabell #media #creative$ #TGIF #NP \,"Bronx, NY"
Fri May 10 14:37:39 +0000 2019,,"Greenburgh, NY"
Fri May 10 14:37:37 +0000 2019,Na... chill I don\ pick up phone calls from numbers i dont know. Announce yourself in a text first ,"Queens, NY"
Fri May 10 14:37:36 +0000 2019,Mooood \ #TGIF  ,"Manhattan, NY"
Fri May 10 14:37:36 +0000 2019,  the #MuellerReport documents:\\n-  140 contacts between Trump campaign and Russia/Wikile\ ,"Manhattan, NY"
Fri May 10 14:37:35 +0000 2019, Be back really soon ily\,"Fredonia, NY"
Fri May 10 14:37:34 +0000 2019, My wife asked me about buying Lulumon stock in 2010 and I was all \ retailers are taste driven b\ ,"Brooklyn, NY"
Fri May 10 14:37:33 +0000 2019, Q no sepas leer no es mi problema \,"Manhattan, NY"
Fri May 10 14:37:30 +0000 2019,"See our latest #NewYork, NY #BusinessMgmt job opportunity and click the link in our bio to apply: Project Manager/S\ ","Manhattan, NY"
Fri May 10 14:37:29 +0000 2019,Twitter is usually a place to voice complaints about companies but I just wanted to shout from the internet rooftop\ ,"Lancaster, NY"
Fri May 10 14:37:29 +0000 2019,When I look back at the tape Troy was mostly just all energy and reckless abandon...Ed was technique and wit ,"Brooklyn, NY"
Fri May 10 14:37:28 +0000 2019," So, should I mark your RSVP as a maybe?'""","Manhattan, NY"
Fri May 10 14:37:27 +0000 2019,"What up eptxxxx'""","Bay Shore, NY"
Fri May 10 14:37:26 +0000 2019,"UHHH THAT LOGIC AND WILL SMITH TRACK SLAPS\\n\\noh my God I just got done slandering Logic... and now this man putting out legitimate bops'""","Woodbury, NY"
Fri May 10 14:37:25 +0000 2019," They\ our client. And they pay a shit kid of money. Good stuff'""","Brooklyn, NY"
Fri May 10 14:37:24 +0000 2019,the Metal Church ! @ The Chance Theater ,"Poughkeepsie, NY"
Fri May 10 14:37:23 +0000 2019,10 Year Anniversary SAG-AFTRA Member \\n2009-2019 \  \\n \\n #sag\ ,"Manhattan, NY"
Fri May 10 14:37:21 +0000 2019, They sell only balloons?  \,"Manhattan, NY"
Fri May 10 14:37:18 +0000 2019," Pushing for you'""","Manhattan, NY"
Fri May 10 14:37:17 +0000 2019,"  May this PAWp bless us W!'""","Manhattan, NY"
Fri May 10 14:37:14 +0000 2019,"Fifth month in NYC 05/10/19:\\nWill and I bonded over getting rid of a rat'""","Manhattan, NY"
Fri May 10 14:37:14 +0000 2019,"  So true!'""","New York, USA"
Fri May 10 14:37:14 +0000 2019,Planning a trip? Let us be your guides - virtual and on-site:  \   ,"Croton-on-Hudson, NY"
Fri May 10 14:37:13 +0000 2019,"Like the bun of our burger, Five Guys Enterprises, LLC offers a solid foundation! Join our team:\ ","Merrick, NY"
Fri May 10 14:37:13 +0000 2019,"    Not Silicon Valley and not everyone thinks it is a good idea.'""","Manhattan, NY"
Fri May 10 14:37:11 +0000 2019,"JUSTINS VOICE IS EVERYTHING'""","Selden, NY"
Fri May 10 14:37:11 +0000 2019,Hmmmm wingdaddys\,"Bay Shore, NY"
Fri May 10 14:37:11 +0000 2019,My boyfriend with this new Snapchat filter looks like the team mom for the neighborhood soccer league.\\n\\nOrange slic\ ,"Queens, NY"
Fri May 10 14:37:10 +0000 2019,"It\ been a while, but joining  on  today at 12:30pm ET to talk Dems and #China.'""","Manhattan, NY"
Fri May 10 14:37:09 +0000 2019,"   When Republicans aren\ being hypocrites they are lying. You are a disgrace.'""","Manhattan, NY"
Fri May 10 14:37:09 +0000 2019,Got damm.. the same Philly niggas been beefing since 07.. where is Reed Dollaz?? \ ,"White Plains, NY"
Fri May 10 14:37:08 +0000 2019,"Ricotta pancakes are poppin'""","Manhattan, NY"
Fri May 10 14:37:05 +0000 2019,Why do you keep putting homeless shelters in ozone park queens. How about you start putting them in borough park by\ ,"Queens, NY"
Fri May 10 14:37:04 +0000 2019,"Plain Brown Box by   Dir. Sarah Young.\\nRaphael Mishler Scenic, Grier Coleman Costume, Dante O\ ","Manhattan, NY"
Fri May 10 14:38:53 +0000 2019,"  Wow such ignorance'""","East Rochester, NY"
Fri May 10 14:38:53 +0000 2019,In music and dance. ,"Manhattan, NY"
Fri May 10 14:38:53 +0000 2019," DON DEMARCO!!'""","New York, USA"
Fri May 10 14:38:51 +0000 2019," My name is Dzidzoli'""","Manhattan, NY"
Fri May 10 14:38:50 +0000 2019,Teddy Pendergrass II ~ The Finance Guru  ,"Manhattan, NY"
Fri May 10 14:38:50 +0000 2019,"'Have you ever had a role like ""shift supervisor - Store# 20679, 87TH AND THIRD""? What did you like most about that job? #Retail #NewYork, NY\''","Manhattan, NY"
Fri May 10 14:38:48 +0000 2019,10% off Big Bus Tours Promo Code\\n\\n #tours #coupon #promocode #deal #discount\ ,"New York, USA"
Fri May 10 14:38:48 +0000 2019,Missed our season finale? Catch up on the action on our broadcast here! \\n\\n,"Hempstead, NY"
Fri May 10 14:38:47 +0000 2019,  The catering in the tunnel club is excellent! Gained 2 lbs there. Mass starvation my ass \,"Brooklyn, NY"
Fri May 10 14:38:46 +0000 2019,What is the angry educated black man angry about today? The disrespect of the curry throne. On and off the court.\ ,"Manhattan, NY"
Fri May 10 14:38:46 +0000 2019, still feel the same. Broke and tired \,"Manhattan, NY"
