Date,Tweet,Country
Mon Apr 29 23:59:58 +0000 2019, Thank you beautiful \,"Manhattan, NY"
Mon Apr 29 23:59:56 +0000 2019,"People really out here paying for feet pics.... ok lmao who tryna pay me'""","New York, USA"
Mon Apr 29 23:59:56 +0000 2019,"Happy International Dance Day! This was the most terrifying, yet rewarding experience of my life. ","Fredonia, NY"
Mon Apr 29 23:59:54 +0000 2019,"  Jahajahahah la amo'""","North Bellmore, NY"
Mon Apr 29 23:59:54 +0000 2019,"Might start my hero academy'""","New York, USA"
Mon Apr 29 23:59:52 +0000 2019,#ClassicTrumpTweets ,"Manhattan, NY"
Mon Apr 29 23:59:52 +0000 2019, Your eyes are unreal \,"Queens, NY"
Mon Apr 29 23:59:52 +0000 2019,A Harlem salute for  \\n.\\n.\\n. \\n#RestInPower\\n#BlackExcellence\\n#\ @ Apollo Theater ,"Manhattan, NY"
Mon Apr 29 23:59:50 +0000 2019,When 77 clan likes your tweets and comments but u still lurking around to get more clout thx guys love you \ ,"Bronx, NY"
Mon Apr 29 23:59:48 +0000 2019,Congratulations! ,"Williamsville, NY"
Mon Apr 29 23:59:42 +0000 2019,"pretty sure chinese food is the move tn omg'""","New York, USA"
Mon Apr 29 23:59:42 +0000 2019,"Rosie the Robot Shopping Cart Wipe Dispenser @ Trader Joe\'s- Brooklyn,NY ","Brooklyn, NY"
Mon Apr 29 23:59:41 +0000 2019,"Working double-time on the carbon reduction line. (@ Greene Hill Food Co-op in New York, NY) ","Brooklyn, NY"
Mon Apr 29 23:59:41 +0000 2019,"Cross/border specialists, invited to Lake Geneva May 10 2019.  Upstate NY major event: ","Buffalo, NY"
Mon Apr 29 23:59:40 +0000 2019, Wish we could grow our small country churches in Upstate? The Mega\ grow. Our local denominations are\ ,"New York, USA"
Mon Apr 29 23:59:39 +0000 2019,"it\ like you talk real big, but you can\ even face me ..'""","Brooklyn, NY"
Mon Apr 29 23:59:38 +0000 2019,"so....niggas are not kissing during sex? \ That means something wrong w you girl!'""","Manhattan, NY"
Mon Apr 29 23:59:38 +0000 2019,Purple Reign \\n#thanoswasright \ ,"Queens, NY"
Mon Apr 29 23:59:36 +0000 2019, \,"Staten Island, NY"
Mon Apr 29 23:59:36 +0000 2019,how is jacob wohl not behind bars ,"Brooklyn, NY"
Mon Apr 29 23:59:35 +0000 2019,"What we allow is what will continue'""","Colonie, NY"
Mon Apr 29 23:59:35 +0000 2019," Did... did she... age? Is grandma a vampire?'""","Queens, NY"
Mon Apr 29 23:59:35 +0000 2019," About the only thing Obama ever said that I agree with.'""","Queens, NY"
Mon Apr 29 23:59:34 +0000 2019," Aqu\ en los \ se trabaja todo el a\ solo los bancos escuelas y trabajos de gobierno cierran x eso son pa\ de primer mundo'""","West New York, NJ"
Mon Apr 29 23:59:34 +0000 2019,"   My take is, that it\ mess up, they\ tying smear him.'""","Brooklyn, NY"
Mon Apr 29 23:59:33 +0000 2019,  I loved it! So many great points by you & your incredible guests. I\ be waiting imp\ ,"Queens, NY"
Mon Apr 29 23:59:33 +0000 2019,"   Probably a good idea!'""","Manhattan, NY"
Mon Apr 29 23:59:32 +0000 2019,HAHAHAHA THISNIS THE BEST VIDEO EVER \ ,"Highland Mills, NY"
Mon Apr 29 23:59:31 +0000 2019,"  That\ beautiful'""","Queens, NY"
Mon Apr 29 23:59:30 +0000 2019,"  Jajaja te dejo que practiques conmigo pero no te prometo salir con ese maquillaje'""","North Bellmore, NY"
Mon Apr 29 23:59:29 +0000 2019,Kudos to the #NYUDentistryAlumni founders of the Saturday Acadwmt program! Applications for the Fall 2019 semester\ ,"Manhattan, NY"
Mon Apr 29 23:59:29 +0000 2019,,"Greece, NY"
Mon Apr 29 23:59:29 +0000 2019,The three best moments of my life: 1: getting Bruce. 2: the first time I heard Lil\ Jon\ \ Low\ And 3: that we\ ,"Auburn, NY"
Mon Apr 29 23:59:28 +0000 2019,"i still think FOSSE/VERDON is very terrible, but i think this recreation? cover? of \ Ladies\ from CABARET feat.\ ","Brooklyn, NY"
Mon Apr 29 23:59:28 +0000 2019,"Day 16: hot month, hot show. Spam! At Pianos. 8:30, stop by! @ PIANOS ","Manhattan, NY"
Mon Apr 29 23:59:26 +0000 2019,"Wheeler goes down looking to end the 2nd but the #Mets plate a pair and now trail 4-2'""","Queens, NY"
Mon Apr 29 23:59:24 +0000 2019,"current weather in Central Islip: overcast clouds, 50\ humidity, wind 10mph, pressure 1027mb'""","Central Islip, NY"
Mon Apr 29 23:59:22 +0000 2019,"Corbin up to 51 pitches through 3. Cards +3.5 (-120) a decent bet.'""","Utica, NY"
Mon Apr 29 23:59:21 +0000 2019,  \ \ \,"Staten Island, NY"
Mon Apr 29 23:59:20 +0000 2019,"#BREAKING Overturned Car on E68th and 5th avenue, the driver appears to have suffered minor injuries. Traffic is bl\ ","Manhattan, NY"
Mon Apr 29 23:59:19 +0000 2019,Is it weird that our Grandma uses an electric carving knife to cut up ice cream cake?  ,"Lake View, NY"
Mon Apr 29 23:59:16 +0000 2019, had me on the edge of the seat! It\ like watching a freaking playoff game! Guy won by 18 dollars an the\ ,"New York, USA"
