Date,Tweet,Country
Fri May 24 00:15:24 +0000 2019,How you not spending all your free time with me? I\ ugly? Make it make sense. ,"Manhattan, NY"
Fri May 24 00:15:20 +0000 2019, Swish \ ,"Manhattan, NY"
Fri May 24 00:15:19 +0000 2019," Hey Cenk, I have a bridge for sale. It\'s in Brooklyn, made of granite. Good price, act fast! \","Levittown, NY"
Fri May 24 00:15:18 +0000 2019,"I think she woulda dropped dead if I told her he went to berghain w out me hahahahah'""","Brooklyn, NY"
Fri May 24 00:15:17 +0000 2019,"Checks and WHAT WAS IT AGAIN, NANCE??!!  ","New York, USA"
Fri May 24 00:15:16 +0000 2019," Never losing again'""","Mineola, NY"
Fri May 24 00:15:16 +0000 2019,Not for nothing but Kanye dropping too many yeezy\ at once \,"Bronx, NY"
Fri May 24 00:15:16 +0000 2019, One Devil at a time. Pence will be less attractive to Trump\'s base (I hope). He hasn\'t been on the trail a\ ,"Pawling, NY"
Fri May 24 00:15:14 +0000 2019," Wow, see this person I know I can\ contact because she\ of those editors. But I can try that fo\ ","Brooklyn, NY"
Fri May 24 00:15:12 +0000 2019,  Were constantly in gear an ambulance ride is easily $1000 or more they charge $200 for a\ ,"Brooklyn, NY"
Fri May 24 00:15:12 +0000 2019,Io sapevo che miei antenati italiani erano di Campania ma non sapevo di dove fino questa settimana. Erano di Teggia\ ,"Manhattan, NY"
Fri May 24 00:15:11 +0000 2019,Siguiendo a los Guerreros! Hoy tiene que ser!!! ,"Manhattan, NY"
Fri May 24 00:15:11 +0000 2019,Happy birthday  ,"Manhattan, NY"
Fri May 24 00:15:07 +0000 2019,This is amazing. ,"Manhattan, NY"
Fri May 24 00:15:06 +0000 2019,Good let him hate it.  He deserves it ,"New York, USA"
Fri May 24 00:15:05 +0000 2019,So Proud of these future scientists \ ,"Staten Island, NY"
Fri May 24 00:15:05 +0000 2019, Remember this. There\'s just a few technical things they do that miss the mark imho. Similar w gold last\ ,"Manhattan, NY"
Fri May 24 00:15:04 +0000 2019,"I\'m at Sheraton New York Times Square Hotel in New York, NY ","Manhattan, NY"
Fri May 24 00:15:04 +0000 2019,"I\'m at United Nations -  in New York, NY  ","Manhattan, NY"
