Date,Tweet,Country
Mon May 13 09:41:27 +0000 2019,b'My sexy ass gf def needa hear this \xf0\x9f\x98\x82 https://t.co/Yt4bHBPBMa',"Cedar Rapids, IA"
Mon May 13 09:41:27 +0000 2019,b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/Iw1JOWv82M',"St Louis, MO"
Mon May 13 09:41:26 +0000 2019,b'Cleared: Road Work - HARTFORD #I91 North at Exit 28 (RTES 5 &amp; 15 SB) at 5/13/2019 5:41:03 AM',"Hartford, CT"
Mon May 13 09:41:24 +0000 2019,"b'KANSAS CITY, MO (KCTV) \xe2\x80\x94 First Student Inc., has announced in a letter  to the State of Missouri that they will lay\xe2\x80\xa6 https://t.co/a3rmQgmujr'","North Carolina, USA"
Mon May 13 09:41:24 +0000 2019,b'@dakami @theydidthemaths I\xe2\x80\x99m having a hard time constructing a reason to rewrite a significant enough amount of dat\xe2\x80\xa6 https://t.co/qL5RuO0y9M',"Glenn Dale, MD"
Mon May 13 09:41:22 +0000 2019,"b'Literally I\xe2\x80\x99m cold af, I need Canadian goose'","Colorado, USA"
Mon May 13 09:41:22 +0000 2019,"b'I\xe2\x80\x99m so sad. I can\xe2\x80\x99t tell you how emotionally draining this year has been, but I have to realize I\xe2\x80\x99m young &amp; this is\xe2\x80\xa6 https://t.co/LiSPSETfql'","Alamogordo, NM"
Mon May 13 09:41:21 +0000 2019,b'@RuthRigor @realDonaldTrump Childish memes and no facts from the left as usual',"New Fairfield, CT"
Mon May 13 09:41:20 +0000 2019,"b'@ktolly27 @Paulinhky @RockyTom2 @johncardillo @SenatorBurr @DonaldJTrumpJr @senatemajldr The problem is, trump jr.\xe2\x80\xa6 https://t.co/Z82WldkW3A'","Oildale, CA"
Mon May 13 09:41:20 +0000 2019,"b'current weather in Pittsfield: overcast clouds, 41\xc2\xb0F\n80% humidity, wind 5mph, pressure 1012mb'","Pittsfield, MA"
Mon May 13 09:41:19 +0000 2019,b'Of lights and sounds \xf0\x9f\x93\xb8\xf0\x9f\x91\x82\xf0\x9f\x8f\xbd .\n\n#axelwallyph\n#life\n#lifestyle \n#travel\n#fashion\n#adventure\n#blogger\n#artist\n#LasVegas\xe2\x80\xa6 https://t.co/eZb7GAXE48',"Las Vegas, NV"
Mon May 13 09:41:18 +0000 2019,"b""Bitch my older sisters raised me and I ain't the only one so YES older sisters deserve their own day https://t.co/ffxCsEJpUM""","Knik-Fairview, AK"
Mon May 13 09:41:18 +0000 2019,"b'@thecjpearson My most unpopular opinion?  ""Freedom of choice"" is really freedom from consequences of bad choices. T\xe2\x80\xa6 https://t.co/Rxo1UprBpT'","Indiana, USA"
Mon May 13 09:41:18 +0000 2019,b'A real honest question for my #Philly faithful what\xe2\x80\x99s the worst L @TheWorldof_AJ drop or the cinco doink? Struggling with both right now',"Pennsylvania, USA"
Mon May 13 09:41:18 +0000 2019,b'Good idea.Let all us be positive. https://t.co/bIk6MZtZN4',"Piscataway, NJ"
Mon May 13 09:41:16 +0000 2019,b'What was your first job? I was a sandwich artist at @SUBWAY! Good times\xf0\x9f\x98\x86\xf0\x9f\xa5\xaa Let us know @kare11 Sunrisers https://t.co/JMcpLPc7wz',"Golden Valley, MN"
Mon May 13 09:41:16 +0000 2019,b'If only',"Fresno, CA"
Mon May 13 09:41:15 +0000 2019,"b'@destinyNEVERSON I just started yesterday, barely on Episode 9 Season 1. Does it get good?'","Carson, CA"
Mon May 13 09:41:14 +0000 2019,b'@SethRol97967942 I\xe2\x80\x99m from Georgia',"Georgia, USA"
Mon May 13 09:41:13 +0000 2019,b'Let the work be your voice and the doubters being your motivation and your circle be your why it\xe2\x80\x99s only going to ignite your drive \xf0\x9f\x95\xba\xf0\x9f\x8f\xbf\xf0\x9f\x92\xaf',"Lackawanna, NY"
Mon May 13 09:41:12 +0000 2019,b'@kay_fyre Get ya friend for backup \xf0\x9f\x98\x82',"Pittsburgh, PA"
Mon May 13 09:41:11 +0000 2019,"b'current weather in New Britain: overcast clouds, 41\xc2\xb0F\n87% humidity, wind 5mph, pressure 1013mb'","New Britain, CT"
Mon May 13 09:41:11 +0000 2019,"b'What do you do when individuals interfere with your financial stability, success, advancement, or placement for som\xe2\x80\xa6 https://t.co/H0LHYsFmBH'",The View at Mill Run
Mon May 13 09:41:11 +0000 2019,b'Bible quote of the day friends \xf0\x9f\x98\x87 https://t.co/MTyZbSAeQE',"Norfolk, VA"
Mon May 13 09:41:11 +0000 2019,"b'\xf0\x9f\xa4\xa0 @ North Little Rock, Arkansas https://t.co/TblUP6gXL3'","North Little Rock, AR"
Mon May 13 09:41:11 +0000 2019,b'@activeadriana You got this!! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb',"Queens, NY"
Mon May 13 09:41:10 +0000 2019,"b""And y'all wanted me to spends weeks trying to catch up for this let down smh https://t.co/mcvWHz2qKt""","Virginia, USA"
Mon May 13 09:41:10 +0000 2019,b'The NYMA was a place parents sent their incorrigible boys to get some measure of discipline they couldn\xe2\x80\x99t enforce.\xe2\x80\xa6 https://t.co/O9xhhj1mj3',"Key West, FL"
Mon May 13 09:41:10 +0000 2019,b'I loved Dracarys and the Twitter rage from people who refused to see 8 years of build up for last night and who did\xe2\x80\xa6 https://t.co/fzVBN6L8dq',"Queens, NY"
Mon May 13 09:41:10 +0000 2019,"b'Good morning, New York! :) #Sunrise 05:41, noon 12:52, sunset 20:04 EDT (UTC-4), May 13. Day length: 14h 24m.'","Manhattan, NY"
Mon May 13 09:41:09 +0000 2019,b'@StefaniaOnABC13 3 generations of pure beauty',"Cleveland, OH"
Mon May 13 09:41:09 +0000 2019,b'https://t.co/EfjCzuCMTH',"Southfield, MI"
Mon May 13 09:41:09 +0000 2019,b'@jasongrichard Agreed.',"Portland, ME"
Mon May 13 09:41:09 +0000 2019,b'Yeah the money good but them hours ain\xe2\x80\x99t shit',"Tracy, CA"
Mon May 13 09:41:08 +0000 2019,b'it was a good weekend with no social media \xf0\x9f\x98\x8c',"Glasgow, DE"
Mon May 13 09:41:06 +0000 2019,b'@hismotiffvation @teyjayy @EthanIs_FIRM Lmao cuz u a bullshit dude',"Houston, TX"
Mon May 13 09:41:06 +0000 2019,b'Money really is the root of all evil',"Tucker, GA"
Mon May 13 09:41:05 +0000 2019,b'you know who makes good anime\n\ntoe-ei animation',"Atlanta, GA"
Mon May 13 09:41:03 +0000 2019,b'\xf0\x9f\x8d\x87 ST. #anootappreciationtweet https://t.co/7UYLor3rhV',"Los Angeles, CA"
Mon May 13 09:41:02 +0000 2019,"b'PARKING PROBLEM at N PORTSMOUTH AVE / N STRONG ST, PORTLAND, OR [Portland Police #PP19000156103] 02:11 #pdx911'","Portland, OR"
Mon May 13 09:41:01 +0000 2019,b'@yahgirl_s @chyynaa__ All of them are really good \xf0\x9f\x98\x8d',"Texas, USA"
Mon May 13 09:41:01 +0000 2019,b'Disabled vehicle in #Milton on Expwy SB at EX 11 - Granite Ave #traffic https://t.co/AoTr5OKtFq',"Milton, MA"
Mon May 13 09:41:00 +0000 2019,b'Who would think sarab0817 would be a boy\xe2\x80\x99s mom? And a great one at that. Happy Mother\xe2\x80\x99s Day @ Miyabi Kyoto Japanese\xe2\x80\xa6 https://t.co/eOKF5PpApC',"South Carolina, USA"
Mon May 13 09:40:59 +0000 2019,"b'What do you do when individuals interfere with your financial stability, success, advancement, or placement for som\xe2\x80\xa6 https://t.co/0WS1OOIdP0'",The View at Mill Run
Mon May 13 09:40:58 +0000 2019,b'Impatiently waiting',"Napa, CA"
Mon May 13 09:40:58 +0000 2019,"b'Gm @ New York, New York https://t.co/FeK4XnV9a5'","Manhattan, NY"
Mon May 13 09:40:58 +0000 2019,b'what a night',"East Hemet, CA"
Mon May 13 09:40:55 +0000 2019,"b'@palinair Ustedes los Manudos handan celebrando los drenajes del estadio y la cerveza en Ricardo, desen Vida Mis hijos.'","Palm Beach Gardens, FL"
Mon May 13 09:40:55 +0000 2019,b'\xf0\x9f\xa4\xa3 https://t.co/VwcnuqYpvh',"Wilson, NC"
Mon May 13 09:40:55 +0000 2019,b'@QueenKhameleon @elijahdaniel @tariqnasheed I guarantee if the sequence were flipped\xe2\x80\x94not even changing the gender o\xe2\x80\xa6 https://t.co/HdyaL7q51E',"Philadelphia, PA"
Mon May 13 09:40:54 +0000 2019,b'That kiss on the finale tho @TheBSimone damnnnnnnnnnnn good pick! \xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d',"Mount Vernon, NY"
Mon May 13 09:40:54 +0000 2019,b'I don\xe2\x80\x99t miss u anymore I miss who u use to be',"Kentucky, USA"
Mon May 13 09:40:52 +0000 2019,b'@keeneyeobserver https://t.co/kEOSeW8aWe',"Paradise, NV"
Mon May 13 09:40:52 +0000 2019,"b""@IoTWorldSeries starts today! @suler &amp; @SkrabikK are already in #SantaClara and can't wait for the exhibition to st\xe2\x80\xa6 https://t.co/drrSKCQyzp""","Santa Clara, CA"
Mon May 13 09:40:49 +0000 2019,b'@DanaRevis1 AHAHAHA \xf0\x9f\x98\x9c AHAHAHA \xf0\x9f\x98\x86!!!!\nREALLY FUNNY KENT STATE STARR\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e',"Westerville, OH"
Mon May 13 09:40:49 +0000 2019,"b'What do you do when individuals interfere with your financial stability, success, advancement, or placement for som\xe2\x80\xa6 https://t.co/1LajoqjDAr'",The View at Mill Run
Mon May 13 09:40:48 +0000 2019,b'BORED AS FUCK',"Lake Charles, LA"
Mon May 13 09:40:48 +0000 2019,b'\xf0\x9f\x92\x9c\n.\n.\n.\n.\n#awakening #consciousness #positivity #inspiration #inspiring #enlightenment #esoteric #freedom\xe2\x80\xa6 https://t.co/0Mkeu6GAob',"Corning, NY"
Mon May 13 09:40:48 +0000 2019,b'Pretty Much in post-only mode until I catch up on that show ^_^',"Somerville, MA"
Mon May 13 09:40:47 +0000 2019,b'@Johnnymckechs https://t.co/IdI7QCRZSL',"Scottsdale, AZ"
Mon May 13 09:40:46 +0000 2019,"b'Any candidate that seeks &amp; accepts endorsements from Brand New Congress, Our Revolution or Justice Dems is automati\xe2\x80\xa6 https://t.co/arN99XfWHt'","Missouri, USA"
Mon May 13 09:40:46 +0000 2019,b'my anxiety is thru the ROOF rn tbh',"Los Angeles, CA"
