Date,Tweet,Country
Tue May 21 10:19:18 +0000 2019,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/QxF8N9RzEB',"Paradise, NV"
Tue May 21 10:19:18 +0000 2019,b'@jenwaltersphoto @ZachB1112 @WestTrackField @westfirebirds Thanks for capturing these moments for us @jenwaltersphoto!',"Princeton, OH"
Tue May 21 10:19:18 +0000 2019,"b""I'm at City of @PhiladelphiaGov in PA https://t.co/stBwoScqFe""","Philadelphia, PA"
Tue May 21 10:19:17 +0000 2019,"b""@realDonaldTrump You will pass away also &amp; be forgotten as will we all, so don't have an inflated opinion of yourse\xe2\x80\xa6 https://t.co/d3ru9C1pdr""","Gloucester, MA"
Tue May 21 10:19:17 +0000 2019,b'near bsgstblender: b9d14acb-2efd-4332-b3ce-05959b163425',"Pittsburgh, PA"
Tue May 21 10:19:16 +0000 2019,b'@Unexplained Me dragging my ass out of bed to go do important things.',"Huntington Beach, CA"
Tue May 21 10:19:15 +0000 2019,b'FYI... my favorite pup from that yearbook page. Emma super photogenic! https://t.co/vfgfDhU4sx',"Florida, USA"
Tue May 21 10:19:15 +0000 2019,"b'Thanks for all you did for our community @Geraldini93 . Not only is there a whole in the middle of the defense, the\xe2\x80\xa6 https://t.co/2CBbO5d0MK'","DeBary, FL"
Tue May 21 10:19:15 +0000 2019,b'Screen time causes insomnia https://t.co/PMcs9mIzzZ',"Amherst, MA"
Tue May 21 10:19:14 +0000 2019,b'@cmcdittmer @208Juliet @RealTT2020 @freenaynow @signup55765001 @anniebearwolf @Kellie2727Paula @Vinceallison63\xe2\x80\xa6 https://t.co/GNMBk2kbxs',"Savannah, GA"
Tue May 21 10:19:14 +0000 2019,b'@hayasakanta \xe3\x81\xaa\xe3\x82\x93\xe3\x81\xaa\xe3\x82\x93\xe3\x81\x93\xe3\x81\x84\xe3\x81\xa4',"St Paul, MN"
Tue May 21 10:19:14 +0000 2019,b'@not_swct @imagnationattic holy crap totally forgot about her.... was on my prize wheel! Good times... Godd times... https://t.co/sJ5EIzaH3R',"Manchester, VA"
Tue May 21 10:19:14 +0000 2019,b'@vana_babe I\xe2\x80\x99m learning ho I haven\xe2\x80\x99t succeeded yet',"Houston, TX"
Tue May 21 10:19:14 +0000 2019,b'I feel attacked \xf0\x9f\x98\xab https://t.co/AZ0y4xjOot',"East Lansing, MI"
Tue May 21 10:19:13 +0000 2019,b'@PalmerGuyBoston At least you know he noticed you \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',"Boston, MA"
Tue May 21 10:19:13 +0000 2019,b'Mawnin island massive. Big up unu self!! \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2',"Virginia Beach, VA"
Tue May 21 10:19:13 +0000 2019,b'Listen to the most recent episode of my podcast: Bare Feet and White Flour https://t.co/aWmmRUB9oI',"Ocean Acres, NJ"
Tue May 21 10:19:12 +0000 2019,b'Are you prepared to sacrifice your dreams for perceptions or mistakes that belong in the past or are you willing to let go and move on?',"Arkansas, USA"
Tue May 21 10:19:11 +0000 2019,"b'Disabled vehicle, left lane blocked in #Franklin on I-70 WB at Miller #traffic https://t.co/hylMo0WgFI'","Columbus, OH"
Tue May 21 10:19:11 +0000 2019,b'@realDonaldTrump All the trailer parks in Penn must be empty',"Tiverton, RI"
Tue May 21 10:19:11 +0000 2019,b'@Jumpman23 Super cool',"Los Angeles, CA"
Tue May 21 10:19:11 +0000 2019,b'Brazy.',"Houston, TX"
Tue May 21 10:19:10 +0000 2019,b'@JillWineBanks I liked the head duck under the fence.',"Manhattan, NY"
Tue May 21 10:19:10 +0000 2019,"b'current weather in Midland: clear sky, 38\xc2\xb0F\n100% humidity, wind 4mph, pressure 1021mb'","Michigan, USA"
Tue May 21 10:19:10 +0000 2019,"b""What are two of our favorite things to do? Listen to some @maryjblige and drink some wine. Well we've blended the t\xe2\x80\xa6 https://t.co/A7mCV4sOvj""","Washington, DC"
Tue May 21 10:19:09 +0000 2019,b'@MeowtroidPrime Poor magneton has the same condition as TERFs',"San Jose, CA"
Tue May 21 10:19:07 +0000 2019,"b'Padres atenci\xc3\xb3n, una ni\xc3\xb1a de 12 a\xc3\xb1os por poco es secuestrada por un desconocido, tenemos en exclusiva declaraciones\xe2\x80\xa6 https://t.co/UsodJSmAFk'","Doral, FL"
