Date,Tweet,Country
Tue May 28 10:20:10 +0000 2019,b'\xe2\x9c\x85\xe2\x9c\x85\xe2\x9d\x8c\xe2\x9d\x8c\xe2\x9c\x85\xe2\x9c\x85\n\n\xe2\x9c\x85\xe2\x9d\x8c\xe2\x9c\x85\xe2\x9d\x8c\xe2\x9d\x8c\xe2\x9c\x85\xe2\x9c\x85\n\n\xe2\x9d\x8c\xe2\x9c\x85\xf0\x9f\xa4\x94\xe2\x9c\x85\xe2\x9c\x85\xe2\x9c\x85\n\n\xe2\x9d\x8c\n\n#stlblues',"O'Fallon, MO"
Tue May 28 10:20:10 +0000 2019,b'@JesseKellyDC @JoeSilverman7 To the people who jumped all over Jesse Kelly - Only about 1% of our population serves\xe2\x80\xa6 https://t.co/ayJcU8J8JK',"Basehor, KS"
Tue May 28 10:20:09 +0000 2019,b'#SanAntonio time to get your voice heard! \xf0\x9f\x97\xb3 Vote Mayor @Ron_Nirenberg \xf0\x9f\x97\xb3#EarlyVoting for runoff starts today \xf0\x9f\x97\xb3May 28\xe2\x80\xa6 https://t.co/oGLEKJjawp',"San Antonio, TX"
Tue May 28 10:20:09 +0000 2019,"b'@jjz1600 @JenBumpas Whenever anyone uses the term  \xe2\x80\x9cthe service\xe2\x80\x9d for the military, I say, what service does it perform? Mass murder?'","Santa Rosa, CA"
Tue May 28 10:20:09 +0000 2019,"b'Well, woke up to 82 degree temperature in my house this AM. Does not bode well for my 14.5 year old A/C system. Hello Rinaldi'","Alafaya, FL"
Tue May 28 10:20:09 +0000 2019,"b""@garyvee so I'm starting a sports blog.,any advice or tips to get this thing lifted?""","Black Mountain, NC"
Tue May 28 10:20:08 +0000 2019,"b""@dinovol I guess I'll be napping later""","Tennessee, USA"
Tue May 28 10:20:08 +0000 2019,b'https://t.co/ZbawG2sH0R',"North Miami Beach, FL"
Tue May 28 10:20:08 +0000 2019,"b'@elangelgabriel S\xc3\xadgame por favor, lo segu\xc3\xad somos Leonelistas.'","Manhattan, NY"
Tue May 28 10:20:08 +0000 2019,b'I hated him for that so that\xe2\x80\x99s why he\xe2\x80\x99s one of my mains now lmao https://t.co/YN4Oesogl4',"Haiku-Pauwela, HI"
Tue May 28 10:20:08 +0000 2019,b'First vacation of the summer \xf0\x9f\x92\x9b\xf0\x9f\x92\x9b https://t.co/kD1YQP9UET',"Catskill, NY"
Tue May 28 10:20:08 +0000 2019,b'my family drives me absolutely insane like fighting mad',"Holdenville, OK"
Tue May 28 10:20:08 +0000 2019,b'\xe2\x96\xb6\xef\xb8\x8f\xe2\x96\xb6\xef\xb8\x8fWIILMER   ||  @patorankingfire X @beraofficial \n\n#Citycafe with @melody_hassan \n\n#Topuptuesday\xf0\x9f\x94\xa5 https://t.co/nDXoSalTev',"Houston, TX"
Tue May 28 10:20:08 +0000 2019,b'@kitkatvales Wild thoughts',"California, USA"
Tue May 28 10:20:07 +0000 2019,"b'Superior: 295 running, 25185 waiting and 2761 new simulations; 53% https://t.co/6OwfHG8npa'","Houghton, MI"
Tue May 28 10:20:07 +0000 2019,"b'their own life wealth @ Hanson, Illinois https://t.co/aVw8FTfawE'","Illinois, USA"
Tue May 28 10:20:06 +0000 2019,b'A Brand New Day @DianaRoss A New Day Of Love. #Work 7A.M. - 3:30P.M. https://t.co/iUmAhhGLa7',"Savannah, GA"
Tue May 28 10:20:06 +0000 2019,b'Here for a good time. https://t.co/6XjqioxVsG',"South Burlington, VT"
Tue May 28 10:20:06 +0000 2019,b'Accident cleared in #Dallas on 75 SB approaching 635 Lbj Frwy #DFWTraffic https://t.co/4NzBppXRvr',"Dallas, TX"
Tue May 28 10:20:05 +0000 2019,b'the same shit i am https://t.co/j8qsVUh6cH',"Pembroke Pines, FL"
Tue May 28 10:20:05 +0000 2019,b'https://t.co/8BUtMQl9NK... need a SAT &amp; ACT Test Prep! Well here you go...',"Florida, USA"
Tue May 28 10:20:04 +0000 2019,b'@BethMosher5 @catturd2 They are going to be more vicious than mean girls!  I love it!!',"Alaska, USA"
Tue May 28 10:20:04 +0000 2019,b'null - ABC News -  via @ABC https://t.co/tJQDDrrA8V',"Mililani Town, HI"
Tue May 28 10:20:03 +0000 2019,b'lol',"Lehigh Acres, FL"
Tue May 28 10:20:03 +0000 2019,"b""Last practice day before heading to #Moriarty NM for the 1-26 Championships. This view from 6300' above the\xe2\x80\xa6 https://t.co/TPsdoWrqWp""",Delaware Water Gap
Tue May 28 10:20:03 +0000 2019,b'@ResistanceNOW77 @Franklin_Graham LMFAO',"Fairport Harbor, OH"
Tue May 28 10:20:03 +0000 2019,b'@yesimLAbaby Was just woken up by house struck by lightning',"Arvada, CO"
Tue May 28 10:20:03 +0000 2019,b'@helenkohler5 Have a great day.\xf0\x9f\x99\x8a\xf0\x9f\x99\x88\xf0\x9f\x99\x89\xf0\x9f\x98\x80\xf0\x9f\x91\x82 https://t.co/X73aEREuV8',"Washington, DC"
Tue May 28 10:20:03 +0000 2019,b'need to take my family to go see Aladdin',"Phoenix, AZ"
Tue May 28 10:20:02 +0000 2019,b'@Roosevelt2017 @Aaronam69 You seem like alot of gaining BULLSHIT\xe2\x97\x8f',"Kentucky, USA"
Tue May 28 10:20:02 +0000 2019,b'First of all the illmatic is not overrated  second of all the stillmatic was odee fire and how you put the Clivia d\xe2\x80\xa6 https://t.co/plWYch4HYQ',"Allendale, NJ"
Tue May 28 10:20:02 +0000 2019,b'I\xe2\x80\x99m bored someone should call me :)',"Sunny Isles Beach, FL"
Tue May 28 10:20:02 +0000 2019,b'I block muthafkas over funds.',"Philadelphia, PA"
Tue May 28 10:20:02 +0000 2019,"b'# Keep America Grate! POTS Trump is evrey God fearing Americans Presedent... Temp:Crab Orchard, Ky.:71.4\xc2\xb0F'","Kentucky, USA"
Tue May 28 10:20:02 +0000 2019,b'@JColeNC smoked the American Dream feature \xf0\x9f\xa4\xae',"Philadelphia, PA"
Tue May 28 10:20:02 +0000 2019,"b'#USGS07342500 - S Sulphur Rv nr Cooper, TX\nHeight: 16.8ft \xe2\x96\xb2 (16ft)\nFlow: 1990cfs\nhttps://t.co/0duRVdrOXQ'","Texas, USA"
Tue May 28 10:20:02 +0000 2019,"b'#USGS07342500 - S Sulphur Rv nr Cooper, TX is above NWS flood stage (16ft)\nhttps://t.co/0duRVdrOXQ'","Texas, USA"
Tue May 28 10:19:59 +0000 2019,b'@C_imCookie @cyarlaaa Yours too. Everyone has a different path and different experiences',"Brunswick, GA"
Tue May 28 10:19:59 +0000 2019,b'Play wit me fuckas',"Baltimore, MD"
Tue May 28 10:19:58 +0000 2019,b'near bsgstblender: b4f5ca50-4f35-4e29-bfa5-d45cd3698ad6',"Pittsburgh, PA"
Tue May 28 10:19:58 +0000 2019,b'Evil Rockefeller! https://t.co/rxqk6fZTNs',"Norwalk, CT"
Tue May 28 10:19:58 +0000 2019,"b'Good morning y\xe2\x80\x99all, have a great day \xf0\x9f\x92\x9b'","Romulus, MI"
Tue May 28 10:19:57 +0000 2019,b'But did you adjust the contrast tho? https://t.co/q5gpnX0fzV',"Newport News, VA"
Tue May 28 10:19:57 +0000 2019,b'@Ashley_lovesst \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d',"Virginia, USA"
Tue May 28 10:19:56 +0000 2019,b'The New Right Is Beating the New Left. Everywhere. https://t.co/6ZfrQJhY3C via @pamelageller',"Lorton, VA"
Tue May 28 10:19:55 +0000 2019,b'@hockey_foxx @EmilyLindin @KTVU @chantasyalexis INCORRECT. He admitted to having sex with an 11 year old which is t\xe2\x80\xa6 https://t.co/mQ4RyxA18S',"Richmond, VA"
Tue May 28 10:19:55 +0000 2019,"b""I'd rather prsy for the people at tge border and the minorities he terrorizes daily.  That's who you pray for\xe2\x80\xa6 https://t.co/NazIlhMRYo""","Rosaryville, MD"
Tue May 28 10:19:55 +0000 2019,b'@36finest @DE_NOZe A lot of @AmericanOutlaws supporting you! \xf0\x9f\x99\x8f',"South Carolina, USA"
