Date,Open,High,Low,Close,Adj Close,Volume
4/17/2009,59.838459,60.746151,59.446152,59.892311,33.498802,670500
4/18/2009,59.799999,60.4884605,59.1653865,59.8500005,33.4751355,663750
4/19/2009,59.819229,60.61730575,59.30576925,59.87115575,33.48696875,667125
4/20/2009,60.123081,60.700001,57.72308,58.69231,32.827618,1193400
4/21/2009,59.53846,61.446152,59.400002,61.361542,34.320568,920200
5/1/2009,60.22308,60.76923,59.42308,60.553848,33.868809,368900
5/2/2009,60.407696,60.680771,59.307695,60.123079,33.6278745,416000
5/3/2009,60.315388,60.7250005,59.3653875,60.3384635,33.74834175,392450
5/4/2009,64.230766,66.153847,64.07692,66.015381,36.923538,691900
5/5/2009,63.95385,64.253853,62.784618,63.76923,35.667233,623000
5/6/2009,65.215378,65.876923,64.215378,65.49231,36.630978,574400
5/7/2009,63.03846,63.530769,61.130772,61.676922,34.496964,990200
5/8/2009,63.07692,65.323082,63.053848,65.146149,36.437366,755400
5/9/2009,63.05769,64.4269255,62.09231,63.4115355,35.467165,872800
5/10/2009,63.067305,64.87500375,62.573079,64.27884225,35.9522655,814100
5/11/2009,60.515381,60.907688,59.553848,60.19231,33.666607,1158600
5/12/2009,60.892311,62.00769,59.96154,60.45385,33.812885,567100
5/13/2009,60.661541,60.661541,59.45385,59.900002,33.503105,936200
5/14/2009,58.476921,60.99231,58.476921,60.530769,33.855904,508300
5/15/2009,60.81538,61.784618,60.476921,60.892311,34.058121,542300
5/16/2009,59.6461505,61.388464,59.476921,60.71154,33.9570125,525300
5/17/2009,60.23076525,61.586541,59.976921,60.8019255,34.00756675,533800
5/18/2009,61.061539,63.569229,61.061539,63.49231,35.512341,807200
5/19/2009,63.407688,65.369232,63.261539,64.138458,35.873753,757300
5/20/2009,65.707687,65.800003,64.192307,64.330772,35.981308,551800
5/21/2009,63.084621,63.46154,62.27692,62.92308,35.193962,412600
5/22/2009,62.869228,63.54615,62.515381,62.615379,35.021862,313900
5/23/2009,62.9769245,63.503845,62.3961505,62.7692295,35.107912,363250
5/24/2009,62.92307625,63.5249975,62.45576575,62.69230425,35.064887,338575
5/25/2009,62.95000037,63.51442125,62.42595813,62.73076687,35.0863995,350912.5
5/26/2009,61.623081,63.292309,60.838459,62.869228,35.163837,395500
5/27/2009,63.830769,63.830769,62.04615,62.176922,34.776623,423400
