Date,Tweet,Country
Mon Apr 22 23:59:59 +0000 2019,2 keepers in this photo \ ,"Edinburg, TX"
Mon Apr 22 23:59:59 +0000 2019,Niggas really gotta be broke asf to take a chain like that lmao ,"Houston, TX"
Mon Apr 22 23:59:57 +0000 2019,Ya me miro ma\ \,"Houston, TX"
Mon Apr 22 23:59:57 +0000 2019,"I got hustled yesterday.Ouuuu never again.'""","Bedford, TX"
Mon Apr 22 23:59:56 +0000 2019," Lol if someone come to my house and clean it ima be insulted cause my momma ain\ raise me like that.'""","Dallas, TX"
Mon Apr 22 23:59:55 +0000 2019,"Happy birthday to Tio Nando, one of the best cats I know! This is Tio Nando with Baby Bruce (BCK). Many more happy\ ","Dallas, TX"
Mon Apr 22 23:59:52 +0000 2019,"I have no reason to be pressed.'""","Denton, TX"
Mon Apr 22 23:59:51 +0000 2019," Seems like you missed this really big event in the late 90\'s...""'","Tyler, TX"
