Date,Tweet,Country
Mon Apr 29 23:59:58 +0000 2019,  We\'ll see. The Harris bridge has already been crossed on this thread. It\'s not like t\ ,"Claremont, CA"
Mon Apr 29 23:59:58 +0000 2019,"'Nervous to apply for a job like ""Specialty Beauty Advisor"" at Ulta Beauty? Apply even if you\\\'re not a 100% match. Y\ ","Gilroy, CA"
Mon Apr 29 23:59:57 +0000 2019,About to board a 6 hour plane ride home from San Francisco to New Jersey right now. I\ so pumped to listen to the\ ,"California, USA"
Mon Apr 29 23:59:57 +0000 2019,"Happy international dance day! Join us for a funky UJAM celebration at 5:30! @ 24 Hour Fitness - Morgan Hill, CA ","Morgan Hill, CA"
Mon Apr 29 23:59:57 +0000 2019,"    Thank you!'""","Placentia, CA"
Mon Apr 29 23:59:56 +0000 2019,"   You just assume you know what RR lips are wrapped around...Just say\ and out!'""","Long Beach, CA"
Mon Apr 29 23:59:56 +0000 2019,"    Puro Galaxy'""","Los Angeles, CA"
Mon Apr 29 23:59:52 +0000 2019, Watched the first 3 and loved it.  The commercial sketches feel like things that would have been in\ ,"San Diego, CA"
Mon Apr 29 23:59:52 +0000 2019," Go away'""","Los Angeles, CA"
Mon Apr 29 23:59:52 +0000 2019," this includes me, right'""","San Jose, CA"
Mon Apr 29 23:59:52 +0000 2019, #GetEmOut ,"California, USA"
Mon Apr 29 23:59:51 +0000 2019,Love these photos taken by Michael Barnes at yesterday\ event by South County Tail Waggers\ \\n\\nWe so greatly appre\ ,"Morgan Hill, CA"
Mon Apr 29 23:59:51 +0000 2019," ..!! Me refiero al punto de las pandillas y desapariciones..!!'""","Los Angeles, CA"
Mon Apr 29 23:59:50 +0000 2019,"  Yes! Looking forward! #NYEDChat'""","San Diego, CA"
Mon Apr 29 23:59:50 +0000 2019,"For those #ChaffeyTigers who are interested in studying Crime Scene investigation,  is where it\ at! ","Rancho Cucamonga, CA"
Mon Apr 29 23:59:50 +0000 2019,Big day should always start with BIG LAUGHS! #laughing lots with my girl  post 6am PiYo natomasyogastud\ ,"Sacramento, CA"
Mon Apr 29 23:59:49 +0000 2019, I miss you. Please come home. \,"Inglewood, CA"
Mon Apr 29 23:59:48 +0000 2019, \ is my sous-chef\,"Clovis, CA"
Mon Apr 29 23:59:46 +0000 2019,"'\ water challenges are daunting""\\nCalif. Gov.  signs executive order for state agencies to c\ ","California, USA"
