Date,Tweet,Country
Wed May 15 13:46:20 +0000 2019,"    los derechos humanos no tienen colores ni partidos!'""","San Gabriel, CA"
Wed May 15 13:46:19 +0000 2019,"  #SaveSantaClaritaDiet'""","Redwood City, CA"
Wed May 15 13:46:16 +0000 2019,"Views.... @ Malibu, California ","California, USA"
Wed May 15 13:46:16 +0000 2019,"1)  you are a disgrace to your daughter (a school teacher), all students & all teachers for voting ag\ ","Los Angeles, CA"
Wed May 15 13:46:15 +0000 2019,"'Exactly!!!! It\\\'s not all ""here\\\'s my money, go spend it Google!"" ","San Francisco, CA"
Wed May 15 13:46:15 +0000 2019," Yes you have come far. Certain things will trigger a memory.  But hang in there, you are a strong\ ","Stockton, CA"
Wed May 15 13:46:15 +0000 2019," Sidon there day dreaming! They have nothing to offer hence they spill out bullshit day after day.'""","Oakland, CA"
Wed May 15 13:46:14 +0000 2019, All three are adorable but you will be standing for a long time so I highly suggest the one that is most comfortable\,"Los Angeles, CA"
Wed May 15 13:46:13 +0000 2019,"They claim they showing love but I don\ really feel nun'""","San Diego, CA"
Wed May 15 13:46:10 +0000 2019,"this has been the shittiest work week, tell me how it\ only wednesday'""","San Diego, CA"
Wed May 15 13:46:10 +0000 2019," Youre legit the only one i know who calls texts iMessages. Yeahh thats what they are but its a texttt'""","Vista, CA"
Wed May 15 13:46:09 +0000 2019,"We\'re hiring in San Pablo, CA! Click the link in our bio to apply to this job and more: Nutrition Adjunct Instructo\ ","San Pablo, CA"
Wed May 15 13:46:07 +0000 2019,  lol just know i felt this tweet. \,"Los Angeles, CA"
Wed May 15 13:46:05 +0000 2019," Thank you cay'""","Los Angeles, CA"
Wed May 15 13:46:05 +0000 2019,"Hating life atm . I\ so sleepy'""","Moreno Valley, CA"
Wed May 15 13:46:03 +0000 2019,   \ ,"Palm Springs, CA"
Wed May 15 13:45:57 +0000 2019,The Clean - \ ,"Pasadena, CA"
Wed May 15 13:45:57 +0000 2019," \ my farts right now? Whew'""","California, USA"
Wed May 15 13:45:53 +0000 2019," Thank you!'""","Los Angeles, CA"
Wed May 15 13:45:51 +0000 2019,An announcement from the King himself #thejourneyofthelittleprince #journeyoflittleprince #lepetitprince #hff19 lin\ ,"Los Angeles, CA"
Wed May 15 13:45:49 +0000 2019,They did that so they could spend a decade bleeding him. ,"Sacramento, CA"
Wed May 15 13:45:47 +0000 2019,"  Or mere jali journalist ka lifafa!'""","Davis, CA"
Wed May 15 13:45:46 +0000 2019,  Deliciosa verga riqu\,"Victorville, CA"
Wed May 15 13:45:45 +0000 2019,Goodlooking my brother \ ,"Los Angeles, CA"
Wed May 15 13:45:43 +0000 2019,   They were quietly handling it with a measured response that wouldn\'t be seen\ ,"Los Angeles, CA"
Wed May 15 13:45:43 +0000 2019," Hard work and faith in one\ ability to succeed. Proud of you. Inspiring.'""","Sonoma, CA"
Wed May 15 13:45:40 +0000 2019,#preworkworkout lafitness There is a difference between a show horse and a work horse. If you don\ know the differ\ ,"San Diego, CA"
Wed May 15 13:45:39 +0000 2019,When you realize that James Charles already knew he was a predator and tweeted about it. #ByeSister ,"Dublin, CA"
Wed May 15 13:45:39 +0000 2019,"But that\ also why I don\ go out with my cousins, aunts, and uncles that much cus them niggas always get drunk and wanna fight \","Ontario, CA"
Wed May 15 13:45:39 +0000 2019,Maybe interesting for you   ,"Palo Alto, CA"
Wed May 15 13:45:38 +0000 2019,Pompeii Thread ,"Los Angeles, CA"
Wed May 15 13:45:38 +0000 2019," It\ a fair confusion!'""","San Francisco, CA"
Wed May 15 13:45:31 +0000 2019,"   Ha sido mi honor reportar tu cuenta como falsa!'""","San Gabriel, CA"
Wed May 15 13:45:30 +0000 2019,Twitter install an edit feature !! Tired of having typos and I have delete the whole tweet or add **correction** in\ ,"Los Angeles, CA"
Wed May 15 13:45:29 +0000 2019,Be the spark that creates an \ kindness \ #begood #beweird #bepositive #roar #BelieveInYourself\ ,"Los Angeles, CA"
Wed May 15 13:45:28 +0000 2019,"  Good shout for looking like a George Michael clone circa 1999'""","Los Angeles, CA"
Wed May 15 13:45:25 +0000 2019,    Oh i love you I\'m an army noona as well it feels good to see others I purple you \,"Los Angeles, CA"
Wed May 15 13:45:22 +0000 2019,Alabama must be a horrid place to live. ,"Oceanside, CA"
Wed May 15 13:45:17 +0000 2019," Chastity belts wll be making a comeback this year.  And the women will be buying them.'""","Oxnard, CA"
Wed May 15 13:45:17 +0000 2019,Todays 3x3. I haven\'t had a surfing shot I  awhile @ Imperial Beach Pier ,"Imperial Beach, CA"
Wed May 15 13:45:15 +0000 2019,That glow shine different when God is the homieeee. The past few weeks have been crazy! \ had meetings every we\ ,"Los Angeles, CA"
Wed May 15 13:45:15 +0000 2019,We had our first ELSI community event with  teaching facial yoga \ We were SOLD OUT. Thanks for everyon\ ,"San Francisco, CA"
Wed May 15 13:45:15 +0000 2019,Apache Kafka Internals: FAQs. #BigData #Analytics #DataScience #AI #MachineLearning #ApacheKafka #IoT #IIoT\ ,"Milpitas, CA"
Wed May 15 13:45:14 +0000 2019,"aint NO reason i should be knocking out at 8am everyday smhhh'""","Inglewood, CA"
Wed May 15 13:45:12 +0000 2019,"   $gern'""","Brea, CA"
Wed May 15 13:45:10 +0000 2019," \ irony, it is the way I see CNN, and MSNBC. Clearly Warren is in a completely different political\ ","Redding, CA"
Wed May 15 13:45:10 +0000 2019,"follow me on apple music to see the playlist i made for my crush bc he asked for it'""","Los Angeles, CA"
Wed May 15 13:45:08 +0000 2019," check your iMessages'""","Los Angeles, CA"
Wed May 15 13:45:06 +0000 2019,"   Some people seem to feel that they deserve to be mistreated.'""","Escondido, CA"
Wed May 15 13:45:06 +0000 2019,Taxi service Bell Gardens Donwey Huntington Park Lynwood South Gate Pico Rivera Maywood Bell Cudahy Compton commerc\ ,"Lynwood, CA"
Wed May 15 13:45:06 +0000 2019,"Tim Conway, and the rest of the Carol Burnet gang, was an important part of my childhood and youth, growing up in P\ ","Los Angeles, CA"
Wed May 15 13:45:05 +0000 2019,1975 Ninth Avenue ,"San Francisco, CA"
Wed May 15 13:45:05 +0000 2019,No. 4 of 12 #BusStopX #BSXWedding JASMINE #whitewedding BOOTS One of our favourites from the new #weddingshoes coll\ ,"Los Angeles, CA"
Wed May 15 13:45:03 +0000 2019,I think my pin collection is about to get bigger \ ,"San Diego, CA"
Wed May 15 13:45:02 +0000 2019,"  I would be interested to see it v'""","Rancho Santa Margarita, CA"
Wed May 15 13:45:01 +0000 2019,  And isn\ POTASS diverting military funds for his boondoggle vanity wall?  I\ addition to\ ,"Irvine, CA"
Wed May 15 13:45:01 +0000 2019,Congratulations my friend! #CSforALL #CSforCA #APCSP #APCSA\\n\\n,"Thousand Oaks, CA"
Wed May 15 13:44:59 +0000 2019, \,"Los Angeles, CA"
Wed May 15 13:44:59 +0000 2019,,"San Francisco, CA"
Wed May 15 13:44:57 +0000 2019,    The tradition continues. \ ,"Cypress, CA"
Wed May 15 13:44:57 +0000 2019,"The stunning toll of Boy Scout sex abuse: More than 12,200 reported victims - Los Angeles Times ","Woodland, CA"
Wed May 15 13:44:57 +0000 2019,"  Bich you don\ even KNOW \\nPineapple sake is sewage'""","Irvine, CA"
Wed May 15 13:44:52 +0000 2019,,"Westmont, CA"
Wed May 15 13:44:52 +0000 2019,"   mi perro tiene mas seguidores que tu..3?? eres tu Fernandez?'""","San Gabriel, CA"
Wed May 15 13:44:51 +0000 2019,"Finally in California for vacation'""","Santa Ana, CA"
Wed May 15 13:44:50 +0000 2019,I love this video cus this is exactly how my dad side of the family is. ,"Ontario, CA"
Wed May 15 13:44:50 +0000 2019," Please pull us back from this disaster'""","Oakland, CA"
Wed May 15 13:44:49 +0000 2019,"New videos are up on the channel. In depth unboxing, review, setup and tips are now LIVE!!!  ","California, USA"
Wed May 15 13:44:49 +0000 2019," Thanks, Joe!  me and the rest of the Bitnami team are thrilled!'""","Walnut Creek, CA"
Wed May 15 13:44:49 +0000 2019,"On the youth level, winning creates blind spots. Level of talent/competitiveness is so bad, kids/parents think winn\ ","Thousand Oaks, CA"
Wed May 15 13:44:46 +0000 2019,"Me, imma catch a case for a quesorito ","Los Angeles, CA"
Wed May 15 13:44:43 +0000 2019,      That\ amazing! Way to go guys \,"California, USA"
Wed May 15 13:44:43 +0000 2019," Que ricura delicioso riqu\ verga riqu\ deliciosa leche deliciosa'""","Victorville, CA"
Wed May 15 13:44:41 +0000 2019,Very cool  I didn\ know the extent of this in bees! Thanks for shedding light on this. ,"Riverside, CA"
Wed May 15 13:44:41 +0000 2019,It doesn\ - why?\\n\\nBecause taking care of your own baby is your responsibility as a parent - not a choice. ,"Los Angeles, CA"
Wed May 15 13:44:40 +0000 2019,"#DearDiary \\n\\n April still hasn\'t put out , I\'m beginning to think shes a lesbian.\\n\\n#SexStrike #ImYourHoochieCoochieMan""'","Burbank, CA"
Wed May 15 13:44:39 +0000 2019,Is that  i hear in the background ,"Long Beach, CA"
Wed May 15 13:44:39 +0000 2019,"I\ on the cusp of being sucked into the IGOR vacuum I\ see everyone on the others side.'""","Anaheim, CA"
Wed May 15 13:44:37 +0000 2019,Just posted a photo @ Macy\'s ,"Newark, CA"
Wed May 15 13:44:36 +0000 2019,"We are living in dark times... go vote, get involved in your community, be the light during these turbulent times.\ ","Los Angeles, CA"
Wed May 15 13:44:36 +0000 2019,"Me, to the people in the car across from mine when we\'re about to race on Radiator Springs Racers: ","Anaheim, CA"
Wed May 15 13:44:35 +0000 2019,I don\'t want to keep posting in blowing up here Twitter if you could maybe let me have your email because I gave yo\ ,"Modesto, CA"
Wed May 15 13:44:35 +0000 2019," Not everyone gets treated that way, that\ how \","Los Angeles, CA"
Wed May 15 13:44:35 +0000 2019, y\ must have known i was coming to drag you.  run me my episodes or catch this fade. \\n\\n(Thanks for\ ,"Los Angeles, CA"
Wed May 15 13:44:34 +0000 2019,"I love it when people post gory shit as if its supposed to gross me out. Bitch ima be a nurse, you think im scared\ ","Vista, CA"
Wed May 15 13:44:31 +0000 2019," A car done in one show was a cool change of pace.  From paint and body to a test drive in one show, mind blown.'""","Coronado, CA"
Wed May 15 13:44:27 +0000 2019," DMs are really open now'""","California, USA"
Wed May 15 13:44:26 +0000 2019,#IoTWorld Best in Show Award Winner:  - R7F0E #Embedded Controller #bestinshow -  pictured wit\ ,"Santa Clara, CA"
Wed May 15 13:44:23 +0000 2019," Well they better wake up. I got warriors in 5.'""","San Clemente, CA"
Wed May 15 13:44:21 +0000 2019,Now I have a reason to watch TNT Drama channel..   \\n\,"Arden-Arcade, CA"
Wed May 15 13:44:21 +0000 2019," Omg hysterical thread. Needed that'""","San Francisco, CA"
Wed May 15 13:44:19 +0000 2019, It\ not \,"Walnut Creek, CA"
Wed May 15 13:44:17 +0000 2019,Funny you tweet this. Took my student out to lunch yesterday and he practically said the same thing when talking ab\ ,"San Diego, CA"
Wed May 15 13:44:15 +0000 2019, Appreciate it my boy \,"Los Angeles, CA"
Wed May 15 13:44:11 +0000 2019,"  Thanks David.'""","San Francisco, CA"
Wed May 15 13:44:07 +0000 2019," Lol'""","Costa Mesa, CA"
Wed May 15 13:44:04 +0000 2019," \ tell me I\ wrong'""","Santa Ana, CA"
Wed May 15 13:44:00 +0000 2019,"     Lol - yes'""","Concord, CA"
Wed May 15 13:43:59 +0000 2019," Hahaha mapapagod din yan sa pag kahol.'""","San Jose, CA"
Wed May 15 13:43:58 +0000 2019,"   Good idea for sports team! Other ideas: business cards, company logos, art on t\ ","San Francisco, CA"
Wed May 15 13:43:58 +0000 2019,For indigenous people to better understand Spanish let\ dumb it down for them .... the #spanish #english\ ,"Los Angeles, CA"
Wed May 15 13:43:57 +0000 2019,"  no apoyo a AMLO pero tu Fernandez, mejor no escribas, chachalaca!'""","San Gabriel, CA"
Wed May 15 13:43:57 +0000 2019,  Rocking it guys! Awe...Finally  ,"Sacramento, CA"
Wed May 15 13:43:56 +0000 2019,Love this drawing...it looks like it could see though anything...  :)) ,"Tustin, CA"
Wed May 15 13:43:56 +0000 2019,"Hey young world!'""","Redlands, CA"
Wed May 15 13:43:51 +0000 2019,"God is good all the time!'""","Redlands, CA"
Wed May 15 13:43:51 +0000 2019,"   Hermosa verga riqu\ deliciosa'""","Victorville, CA"
Wed May 15 13:43:49 +0000 2019,"    Thanks, Dax! More Bitnami awesomeness to come!'""","Walnut Creek, CA"
Wed May 15 13:43:47 +0000 2019, Appreciate it my nigga \,"Los Angeles, CA"
Wed May 15 13:43:46 +0000 2019,Sickening. \ ,"Bakersfield, CA"
Wed May 15 13:43:43 +0000 2019," Sent you a DM'""","South San Francisco, CA"
Wed May 15 13:43:40 +0000 2019,I was recently invited to sing along side this amazing artist and I had such a good time! Thanks nosearte for allow\ ,"Arden-Arcade, CA"
Wed May 15 13:43:39 +0000 2019,"   That\ looks exactly what males are made for to perform'""","San Francisco, CA"
Wed May 15 13:43:37 +0000 2019,Well that didn\ take long! Our little melon blossoms have started to grow! @ California\'s 21st Congressional Distr\ ,"California, USA"
Wed May 15 13:43:36 +0000 2019,Thank you  for supporting our troops through  ,"Simi Valley, CA"
Wed May 15 13:43:36 +0000 2019,"I\ late to work I wish my boss tells me something to have an excuse to go home hahaha'""","South Whittier, CA"
Wed May 15 13:43:34 +0000 2019," Sucks to be Keith'""","Upland, CA"
Wed May 15 13:43:33 +0000 2019," The Secret World of Alex Mack'""","San Francisco, CA"
Wed May 15 13:43:33 +0000 2019, As long as it makes you happy when go for it.\,"Walnut Creek, CA"
Wed May 15 13:43:31 +0000 2019,So NCAA college football 2020 in the works \ ,"Chula Vista, CA"
Wed May 15 13:43:29 +0000 2019,"Whatever happened to Jordan Spieth?'""","Los Angeles, CA"
Wed May 15 13:43:29 +0000 2019," You look fantastic and beautiful in both pictures'""","Marina, CA"
Wed May 15 13:43:28 +0000 2019,"I Really Wish You\ Just Hear Me Out...'""","Inglewood, CA"
Wed May 15 13:43:22 +0000 2019,Forcing their own imaginary friends doctrine on Americans. 2 years...2years! And we\ regressed 20! ,"San Leandro, CA"
Wed May 15 13:43:21 +0000 2019,  1. You\ the one who asked. 2. These laws exist haphazardly across the nation. 3. The\ ,"Oakland, CA"
Wed May 15 13:43:17 +0000 2019,Basically EVERYTHING that involves SICK CARE isn\ contributing to the extension of your life.\\n\\nThe leading cause o\ ,"West Covina, CA"
Wed May 15 13:43:14 +0000 2019,"Unknown Fact... There are lots of things you can\'t say with flowers.""'","Los Angeles, CA"
Wed May 15 13:43:13 +0000 2019,Shooting my last Conference at Bethel Church this week. It has been such a blast getting to serve & be apart of it\ ,"Redding, CA"
Wed May 15 13:43:12 +0000 2019,"  Thanks so much, John! And likewise!'""","Walnut Creek, CA"
Wed May 15 13:43:11 +0000 2019,"Actually surprise with logics new album.'""","California, USA"
Wed May 15 13:43:10 +0000 2019,"Dont believe those who tell you they love you, believe those who show you they do.'""","Rancho Cucamonga, CA"
Wed May 15 13:43:08 +0000 2019,No - the right to life and due process is a Constitutional right. ,"Los Angeles, CA"
Wed May 15 13:43:07 +0000 2019,"  Thank you.'""","Fresno, CA"
Wed May 15 13:43:06 +0000 2019,  Also note that the ncaa calcs come out at 20% because they include D2 and D3. The D1 only\ ,"Oakland, CA"
Wed May 15 13:43:06 +0000 2019,"My allergies are flaring right now.  My eyes are tearing'""","Los Angeles, CA"
Wed May 15 13:43:04 +0000 2019,Lessons to Learn When You Don\ Finish the Race\\n\\nNew article:  #trailrunning\ ,"Manhattan Beach, CA"
Wed May 15 13:43:04 +0000 2019,6938 Bevis Avenue ,"Los Angeles, CA"
Wed May 15 13:43:04 +0000 2019," I hope you\ enjoying the festival!'""","Oakland, CA"
Wed May 15 13:43:04 +0000 2019,Good luck today to ALL of the participants in the 2019 Boys LA City Section Golf Championship\ at the Wilson cours\ ,"Los Angeles, CA"
Wed May 15 13:43:03 +0000 2019,Niggas was HOT. \ ,"San Bernardino, CA"
Wed May 15 13:43:03 +0000 2019, I literally had to think so hard abiut what a g is. \ \ Haha. Nah. I\'m really off that train. But I s\ ,"Los Angeles, CA"
Wed May 15 13:43:02 +0000 2019, on #CurbYourEnthusiasm  is the greatest ever! This guy can do anything! \,"La Riviera, CA"
Wed May 15 13:42:58 +0000 2019," No  ?! Outrageous'""","West Sacramento, CA"
Wed May 15 13:42:56 +0000 2019," Hopefully not, but it\ a valid symptom of our times \","Walnut Creek, CA"
Wed May 15 13:42:56 +0000 2019,"  When I worked at Beverly Hills High School, students paid $240 a year'""","Fullerton, CA"
Wed May 15 13:42:55 +0000 2019,I need a platform or Voice or some way to get the attention of the company because right now by myself and the only\ ,"Modesto, CA"
Wed May 15 13:42:53 +0000 2019,"  Same back at ya.  **Love, love, love .........**'""","Oildale, CA"
Wed May 15 13:42:52 +0000 2019,Every time I\ trynna call off work nobody wanna answer the phones \,"Palmdale, CA"
Wed May 15 13:42:49 +0000 2019,"#gainpower @ North Park, San Diego ","San Diego, CA"
Wed May 15 13:42:49 +0000 2019," \ you know that! Preciate it bro'""","Los Angeles, CA"
Wed May 15 13:42:48 +0000 2019,Great job Girls... ,"Long Beach, CA"
Wed May 15 13:42:45 +0000 2019,Go vote for  NOW!! #PoseFX ,"Los Angeles, CA"
Wed May 15 13:42:43 +0000 2019,When a company tries very little to innovate and believes their target market to be unsophisticated:  Sales are fla\ ,"Newport Beach, CA"
Wed May 15 13:42:42 +0000 2019,It\ here!!!! ,"California, USA"
Wed May 15 13:42:41 +0000 2019, Good luck bro\,"Moreno Valley, CA"
Wed May 15 13:42:38 +0000 2019,"let me hold $20'""","Fresno, CA"
Wed May 15 13:42:37 +0000 2019," ...I just love your laugh..LOL..'""","Los Angeles, CA"
Wed May 15 13:42:34 +0000 2019,"Been saying this forever, pero no entienden ","San Francisco, CA"
Wed May 15 13:42:34 +0000 2019," When (date) will I be able to binge watch all of them.'""","Los Angeles, CA"
Wed May 15 13:42:34 +0000 2019,"  Well I\'m already lost, will the book be this complex too?""'","Menifee, CA"
Wed May 15 13:42:34 +0000 2019,"    #notredamecathedralfire'""","Los Angeles, CA"
Wed May 15 13:42:32 +0000 2019,Be the spark that creates an \ kindness \ #begood #beweird #bepositive #roar #BelieveInYourself\ ,"Los Angeles, CA"
Wed May 15 13:42:31 +0000 2019,When you want something but can\ have \,"California, USA"
Wed May 15 13:42:31 +0000 2019,"  The district I teach in, and that my children attend school in is on the brink of state t\ ","Parkway, CA"
