Date,Tweet,Country
Thu May 09 09:49:03 +0000 2019," Them yellow ones hot.'""","Los Angeles, CA"
Thu May 09 09:48:58 +0000 2019,"  If y\ are free in August lemme know I want to do something local'""","Los Angeles, CA"
Thu May 09 09:48:56 +0000 2019,"'I\\\'m not really ""like that"" like that, ya know?\''","Burbank, CA"
Thu May 09 09:48:55 +0000 2019,People do weird things:( ,"Carlsbad, CA"
Thu May 09 09:48:54 +0000 2019,Let\'s be friends on  add me I\'ll add u back ,"Chino, CA"
Thu May 09 09:48:52 +0000 2019,"  Inita, Buenos d\ \","Vallejo, CA"
Thu May 09 09:48:39 +0000 2019," The man is intense, you have no idea.'""","Davis, CA"
Thu May 09 09:48:38 +0000 2019,Congratulations on winning game 5 ,"Oakland, CA"
Thu May 09 09:48:37 +0000 2019,"First of all, what the. Second of all, fuck?!?! ","Garden Grove, CA"
Thu May 09 09:48:37 +0000 2019,"I cannot sleep when you\'re not laying by my side.""'","Modesto, CA"
Thu May 09 09:48:23 +0000 2019, Pipooooo!!! Buenos d\ \,"Vallejo, CA"
Thu May 09 09:48:20 +0000 2019," No I only love Wiggins when he is facing the Thunder, Lakers, or Cavs'""","Moorpark, CA"
Thu May 09 09:48:13 +0000 2019,"I LOVE BEING CATHOLIC, I GOD AND I LOVE THE CHURCH HE LEFT FOR US ALL! ","California, PA"
Thu May 09 09:48:09 +0000 2019,Congrats Dr. Williams! (Just 15 though?! \ ,"San Francisco, CA"
Thu May 09 09:48:05 +0000 2019," U on da plane ??'""","Los Angeles, CA"
Thu May 09 09:49:44 +0000 2019,we\ stoners ,"Pico Rivera, CA"
Thu May 09 09:49:42 +0000 2019,TRASH ,"Clovis, CA"
Thu May 09 09:49:41 +0000 2019, \,"Lake Elsinore, CA"
Thu May 09 09:49:36 +0000 2019,I\ supposed to be packing but I discovered that these ridiculous Harry Potter robes from Universal look cute when\ ,"Los Angeles, CA"
Thu May 09 09:49:33 +0000 2019,"  I FEEL U BEAUTIFUL, I Gotta Get Sex 3 or 4x\'s a Day REAL TALK \ ","Stockton, CA"
Thu May 09 09:49:19 +0000 2019, Well this is fun to read lol ,"Modesto, CA"
